ID;Day;CountryCode;TweetType;Size;RetweetCount;Likes
1123732793304014849;Thu May 02 00:35:50 BST 2019;CA;ORIGINAL;241;0;0
1123736462086877184;Thu May 02 00:50:25 BST 2019;GB;ORIGINAL;72;0;0
1123739040568741888;Thu May 02 01:00:39 BST 2019;US;REPLY   ;316;0;3
1123739453447704576;Thu May 02 01:02:18 BST 2019;CO;ORIGINAL;302;1;8
1123746620363956226;Thu May 02 01:30:47 BST 2019;BR;ORIGINAL;145;0;4
1123749863940939776;Thu May 02 01:43:40 BST 2019;US;ORIGINAL;55;0;0
1123755762889760773;Thu May 02 02:07:06 BST 2019;IN;ORIGINAL;189;0;0
1123765293753470978;Thu May 02 02:44:59 BST 2019;JP;ORIGINAL;157;0;2
1123808239982923776;Thu May 02 05:35:38 BST 2019;MY;ORIGINAL;187;0;0
1123809084023689216;Thu May 02 05:38:59 BST 2019;EG;ORIGINAL;234;0;0
1123809603962265601;Thu May 02 05:41:03 BST 2019;EG;ORIGINAL;279;0;0
1123812864966443008;Thu May 02 05:54:01 BST 2019;EG;ORIGINAL;205;1;1
1123857579342487553;Thu May 02 08:51:41 BST 2019;MX;ORIGINAL;94;5;10
1123861670533697538;Thu May 02 09:07:57 BST 2019;MX;ORIGINAL;90;0;0
1123895440389361665;Thu May 02 11:22:08 BST 2019;GB;ORIGINAL;230;2;7
1123901188389388288;Thu May 02 11:44:59 BST 2019;GB;ORIGINAL;241;0;0
1123903717907021825;Thu May 02 11:55:02 BST 2019;AU;ORIGINAL;167;0;1
1123903947369066497;Thu May 02 11:55:56 BST 2019;CZ;ORIGINAL;240;0;0
1123904643938029569;Thu May 02 11:58:42 BST 2019;CH;ORIGINAL;208;0;0
1123905492269654017;Thu May 02 12:02:05 BST 2019;IT;ORIGINAL;113;0;0
1123907390401843201;Thu May 02 12:09:37 BST 2019;BE;ORIGINAL;200;0;0
1123910990406483968;Thu May 02 12:23:56 BST 2019;GB;ORIGINAL;145;1;8
1123911307886059523;Thu May 02 12:25:11 BST 2019;GB;ORIGINAL;230;0;0
1123914667510960129;Thu May 02 12:38:32 BST 2019;GB;ORIGINAL;277;0;5
1123915073511202816;Thu May 02 12:40:09 BST 2019;ID;ORIGINAL;209;0;0
1123925188733804546;Thu May 02 13:20:21 BST 2019;US;ORIGINAL;246;5;39
1123928046900260864;Thu May 02 13:31:42 BST 2019;ES;ORIGINAL;175;0;1
1123928610971291649;Thu May 02 13:33:57 BST 2019;ES;ORIGINAL;229;0;1
1123932715538104321;Thu May 02 13:50:15 BST 2019;ES;ORIGINAL;199;0;1
1123933187393163264;Thu May 02 13:52:08 BST 2019;ES;ORIGINAL;274;2;3
1123933954975969280;Thu May 02 13:55:11 BST 2019;ES;ORIGINAL;205;0;0
1123934212468498433;Thu May 02 13:56:12 BST 2019;ES;ORIGINAL;301;29;43
1123935097340813312;Thu May 02 13:59:43 BST 2019;IN;ORIGINAL;229;0;0
1123935124993785858;Thu May 02 13:59:50 BST 2019;IN;ORIGINAL;229;0;0
1123935157277405184;Thu May 02 13:59:57 BST 2019;IN;ORIGINAL;229;0;0
1123935189422497800;Thu May 02 14:00:05 BST 2019;IN;ORIGINAL;229;0;0
1123935222276472832;Thu May 02 14:00:13 BST 2019;IN;ORIGINAL;229;0;0
1123935253465325569;Thu May 02 14:00:20 BST 2019;IN;ORIGINAL;229;0;0
1123935283903389697;Thu May 02 14:00:28 BST 2019;IN;ORIGINAL;229;0;0
1123935315712933899;Thu May 02 14:00:35 BST 2019;IN;ORIGINAL;229;0;0
1123935349141581824;Thu May 02 14:00:43 BST 2019;IN;ORIGINAL;229;0;0
1123935384013082626;Thu May 02 14:00:51 BST 2019;IN;ORIGINAL;229;0;0
1123935418964115456;Thu May 02 14:01:00 BST 2019;IN;ORIGINAL;229;0;0
1123935448093679617;Thu May 02 14:01:07 BST 2019;IN;ORIGINAL;229;0;0
1123959888172998657;Thu May 02 15:38:14 BST 2019;AR;ORIGINAL;186;0;0
1124031075406286856;Thu May 02 20:21:06 BST 2019;ES;ORIGINAL;196;0;0
1124031316884959232;Thu May 02 20:22:04 BST 2019;FR;ORIGINAL;166;4;8
1124181977760854018;Fri May 03 06:20:44 BST 2019;CN;ORIGINAL;155;2;14
